Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-12-06,411.72445128171927,411.78307187321866,407.6717627325433,408.0623779296875,4201800,0.0,0.0,0.0
2023-12-07,409.9666802936103,411.78308422777,409.4491084364092,411.2557373046875,3248300,0.0,0.0,0.0
2023-12-08,410.51355629132746,413.4432151232587,410.29871345157125,413.0037841796875,5125300,0.0,0.0,0.0
2023-12-11,412.50573328966624,414.7517931435299,412.32018584585666,414.6053161621094,5247100,0.0,0.0,0.0
2023-12-12,414.2733267153601,416.6658935546875,413.3455894179801,416.6658935546875,5982600,0.0,0.0,0.0
2023-12-13,416.870897529538,422.46652644987194,416.5095777328288,422.339599609375,8659100,0.0,0.0,0.0
2023-12-14,424.038815054203,425.1520698989159,421.1286765899713,423.579833984375,8349100,0.0,0.0,0.0
2023-12-15,423.0329639872862,424.06810770367855,422.10522678767506,422.935302734375,5326000,0.0,0.0,0.0
2023-12-18,424.448958708876,426.16767151489074,424.26341127723356,425.3278503417969,4280500,0.0,0.0,0.0
2023-12-19,425.81615807772533,427.94503636331297,425.72827188817695,427.9157409667969,4061500,0.0,0.0,0.0
2023-12-20,427.05384944575025,428.8188874442026,421.55276148302454,421.73907470703125,5783200,1.801,0.0,0.0
2023-12-21,424.7200524673284,426.20074283662285,422.4941092088483,425.84771728515625,4621600,0.0,0.0,0.0
2023-12-22,427.00475611810435,428.35796573549794,425.06322051490895,426.83807373046875,4037800,0.0,0.0,0.0
2023-12-26,427.2107491056248,429.4170615803462,427.12247027261117,428.61297607421875,3835800,0.0,0.0,0.0
2023-12-27,428.416816650717,429.5150651045348,427.9461558419528,429.39739990234375,4271000,0.0,0.0,0.0
2023-12-28,429.7406265771544,430.3191671268939,429.16208602741483,429.466064453125,4703700,0.0,0.0,0.0
2023-12-29,429.3679567816449,429.8288320781223,426.494855215851,428.3187255859375,4376900,0.0,0.0,0.0
2024-01-02,425.48488246713833,426.81846132584843,423.9649604715198,425.58294677734375,9076000,0.0,0.0,0.0
2024-01-03,423.9257366572366,424.59252605194047,421.89592224907017,422.4254455566406,4805000,0.0,0.0,0.0
2024-01-04,421.97437685024465,424.3768177830098,420.8761283981323,421.09185791015625,3945300,0.0,0.0,0.0
2024-01-05,421.24875323824347,423.9061254570324,420.31721710916065,421.6311950683594,5724600,0.0,0.0,0.0
2024-01-08,422.0920680548149,427.7990397743661,422.0136046375212,427.6617736816406,7222400,0.0,0.0,0.0
2024-01-09,425.2004873441469,427.9559237742106,424.74942744590464,426.6223449707031,7939600,0.0,0.0,0.0
2024-01-10,427.30873624955166,430.22106959116337,427.02438866360416,429.4366149902344,4278800,0.0,0.0,0.0
2024-01-11,430.4172461351245,430.8290743727147,425.5731621261381,429.2895812988281,4796600,0.0,0.0,0.0
2024-01-12,430.5839358080034,431.2605407062044,428.25017259721164,429.4856872558594,5182700,0.0,0.0,0.0
2024-01-16,428.3089441572981,429.4758405588921,426.298730642986,428.0245666503906,5730800,0.0,0.0,0.0
2024-01-17,425.1808788522651,426.04379685088514,423.4256265562094,425.6417541503906,6044600,0.0,0.0,0.0
2024-01-18,427.1224422071359,429.8779086922014,425.7300307392649,429.42681884765625,4331300,0.0,0.0,0.0
2024-01-19,430.4760591328751,434.9965336813965,429.7994542769101,434.6827697753906,4836800,0.0,0.0,0.0
2024-01-22,436.13400154543234,437.2616962235115,435.0651693934063,435.6731262207031,5870400,0.0,0.0,0.0
